,STATE.UT,DISTRICT,Year,Rape,Kidnapping.and.Abduction,Dowry.Deaths,Assault.on.women.with.intent.to.outrage.her.modesty,Insult.to.modesty.of.Women,Cruelty.by.Husband.or.his.Relatives,Importation.of.Girls,Total.Crimes.against.Women
10356,GUJARAT,AMRELI,2015,8,48,0,17,2,131,0,206
10357,GUJARAT,ANAND,2015,22,96,0,41,3,99,0,261
10358,GUJARAT,ARVALLI,2015,13,15,0,18,0,50,0,96
10359,GUJARAT,BANASKANTHA,2015,37,89,1,54,1,188,0,370
10360,GUJARAT,BHARUCH,2015,12,24,0,41,0,93,0,170
10361,GUJARAT,BHAVNAGAR,2015,8,27,1,34,4,104,0,178
10362,GUJARAT,BOTAD,2015,1,25,1,18,0,20,0,65
10364,GUJARAT,C. I. D. CRIME,2015,0,0,0,0,0,0,0,0
10363,GUJARAT,CHHOTAUDEPUR,2015,12,6,0,12,0,19,0,49
10365,GUJARAT,DAHOD,2015,23,53,0,38,0,137,0,251
10366,GUJARAT,DANG,2015,2,0,0,6,2,7,0,17
10367,GUJARAT,DEVBHUMI DWARKA,2015,5,11,0,3,1,42,0,62
10368,GUJARAT,GANDHINAGAR,2015,7,22,0,26,16,123,0,194
10369,GUJARAT,GIR SOMNATH,2015,6,14,0,27,2,122,0,171
10370,GUJARAT,JAMNAGAR,2015,11,36,1,20,1,169,0,238
10371,GUJARAT,JUNAGADH,2015,6,25,0,19,3,212,0,265
10372,GUJARAT,KACHCHH EAST(G),2015,28,35,0,35,0,48,0,146
